Time (s),Setpoint (deg),Motor Position (deg),Tension 1 (N),Tension 2 (N),Tension 3 (N),Heading (deg),Pitch (deg),Roll (deg),Quaternion W,Quaternion X,Quaternion Y,Quaternion Z,Gravity X,Gravity Y,Gravity Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0206793,0,0.45,0.8722,0,0,87.5,0.404729762009537,6.08759805422005,0.721357504730513,0.0132454373435879,0.0520051272660685,-0.6905939083196,-0.91,-0.51,9.75
0.0473776,0,0,0.8624,0,0,87.5,0.404729762009537,6.08759805422005,0.721357504730513,0.0131843984618202,0.0520661661478362,-0.6905939083196,-0.91,-0.51,9.75
0.1504688,0,0,0.8526,0,0,87.5,0.461070706829052,6.11465259056507,0.721357504730513,0.0126960874076787,0.0522492827931392,-0.6905939083196,-0.91,-0.52,9.75
0.1760771,0,0,0.8526,0,0,87.4375,0.488125243174078,6.05831164574556,0.721357504730513,0.0124519318806079,0.0521882439113715,-0.690532869437832,-0.9,-0.53,9.75
0.1931662,0,0,0.8526,0,0,87.4375,0.488125243174078,6.05831164574556,0.721357504730513,0.0122688152353049,0.0521882439113715,-0.690532869437832,-0.9,-0.53,9.75
0.2921573,0,0,0.8526,0,0,87.4375,0.627861669158135,6.05607977361609,0.721418543612281,0.0114142708905573,0.0520661661478362,-0.690532869437832,-0.88,-0.54,9.75
0.3112004,0,0,0.8526,0,0,87.4375,0.627861669158135,6.05607977361609,0.721418543612281,0.0111701153634865,0.0518830495025331,-0.690532869437832,-0.88,-0.54,9.75
0.3272097,0,0,0.8526,0,0,87.4375,0.654916205503161,5.99973882879658,0.721418543612281,0.0111701153634865,0.0518830495025331,-0.690532869437832,-0.88,-0.54,9.75
0.3430077,0,0,0.8526,0,0,87.4375,0.654916205503161,5.99973882879658,0.721418543612281,0.0109259598364158,0.0517609717389977,-0.690532869437832,-0.88,-0.54,9.75
0.3579601,0,0,0.8526,0,0,87.4375,0.654916205503161,5.99973882879658,0.721479582494049,0.0108649209546481,0.0516999328572301,-0.690532869437832,-0.87,-0.54,9.75
0.3740702,0,0,0.8526,0,0,87.4375,0.681970741848187,5.94339788397706,0.721479582494049,0.0107428431911127,0.0515778550936947,-0.690532869437832,-0.87,-0.54,9.75
0.389099,0,0,0.8526,0,0,87.4375,0.681970741848187,5.94339788397706,0.721479582494049,0.0106818043093451,0.051516816211927,-0.690532869437832,-0.87,-0.54,9.75
0.403983,0,0,0.8722,0,0,87.4375,0.681970741848187,5.94339788397706,0.721479582494049,0.0105597265458097,0.0513947384483916,-0.690532869437832,-0.87,-0.54,9.75
0.4191549,0,0,0.8722,0,0,87.4375,0.681970741848187,5.94339788397706,0.721479582494049,0.010498687664042,0.0513336995666239,-0.690532869437832,-0.86,-0.54,9.75
0.4351258,0,0,0.8722,0,0,87.4375,0.681970741848187,5.94339788397706,0.721479582494049,0.0103766099005066,0.0512116218030886,-0.690532869437832,-0.86,-0.54,9.75
0.4500149,0,0,0.8722,0,0,87.4375,0.709025278193212,5.88705693915755,0.721479582494049,0.0102545321369713,0.0510895440395532,-0.690532869437832,-0.86,-0.54,9.75
0.4640192,0,0,0.8722,0,0,87.4375,0.709025278193212,5.88705693915755,0.721479582494049,0.0101934932552036,0.0509674662760178,-0.690532869437832,-0.85,-0.54,9.75
0.4800335,0,0,0.8722,0,0,87.4375,0.709025278193212,5.88705693915755,0.721540621375816,0.0100714154916682,0.0508453885124825,-0.690532869437832,-0.85,-0.54,9.75
0.4950042,0,0,0.882,0,0,87.4375,0.736079814538238,5.83071599433803,0.721540621375816,0.00994933772813282,0.0507843496307148,-0.690532869437832,-0.85,-0.54,9.75
0.5109641,0,0,0.882,0,0,87.4375,0.736079814538238,5.83071599433803,0.721540621375816,0.00982725996459745,0.0506012329854117,-0.690532869437832,-0.84,-0.54,9.75
0.5259727,0,0,0.882,0,0,87.4375,0.736079814538238,5.83071599433803,0.721540621375816,0.00982725996459745,0.0506012329854117,-0.690532869437832,-0.84,-0.54,9.75
0.6261567,0,0,0.9114,0,0,87.4375,0.79018888722829,5.718034104699,0.721601660257584,0.0091558322651529,0.0498687664041995,-0.690532869437832,-0.82,-0.54,9.75
0.6441912,0,0,0.9114,0,0,87.4375,0.79018888722829,5.718034104699,0.721601660257584,0.00891167673808216,0.0496246108771287,-0.690532869437832,-0.82,-0.54,9.75
0.65918,0,0,0.9114,0,0,87.4375,0.817243423573316,5.66169315987949,0.721601660257584,0.00878959897454679,0.0495025331135934,-0.690532869437832,-0.81,-0.54,9.75
0.6741965,0,0,0.9114,0,0,87.4375,0.817243423573316,5.66169315987949,0.721601660257584,0.00878959897454679,0.0495025331135934,-0.690532869437832,-0.81,-0.54,9.75
0.774176,0,0,0.9604,0,0,87.4375,0.871352496263368,5.54901127024046,0.721662699139352,0.00811817127510224,0.0487700665323811,-0.6905939083196,-0.8,-0.54,9.75
0.7920966,0,0,0.9604,0,0,87.4375,0.871352496263368,5.54901127024046,0.721662699139352,0.00793505462979918,0.0485869498870781,-0.6905939083196,-0.79,-0.54,9.75
0.8072018,0,0,0.9604,0,0,87.4375,0.871352496263368,5.54901127024046,0.721662699139352,0.00781297686626381,0.0485259110053104,-0.6905939083196,-0.79,-0.54,9.75
0.9061782,0,0,0.9898,0,0,87.4375,0.898407032608394,5.49267032542094,0.721723738021119,0.00744674357565769,0.0480986388329366,-0.6905939083196,-0.78,-0.54,9.76
0.9241697,0,0,0.9898,0,0,87.4375,0.898407032608394,5.49267032542094,0.721723738021119,0.00744674357565769,0.0480986388329366,-0.6905939083196,-0.78,-0.54,9.76
0.9400562,0,0,0.9898,0,0,87.4375,0.898407032608394,5.49267032542094,0.721723738021119,0.00744674357565769,0.0480375999511689,-0.6905939083196,-0.78,-0.54,9.76
0.9549874,0,0,0.9898,0,0,87.4375,0.898407032608394,5.49267032542094,0.721723738021119,0.00744674357565769,0.0480375999511689,-0.6905939083196,-0.78,-0.54,9.76
1.0530886,0,0,1.029,0,0,87.4375,0.842066087788879,5.46561578907591,0.721723738021119,0.0078740157480315,0.0476713666605628,-0.6905939083196,-0.78,-0.53,9.76
1.0722286,0,0,1.029,0,0,87.4375,0.842066087788879,5.46561578907591,0.721723738021119,0.00793505462979918,0.0476713666605628,-0.6905939083196,-0.78,-0.53,9.76
1.0872005,0,0,1.029,0,0,87.4375,0.785725142969363,5.43856125273089,0.721723738021119,0.00799609351156687,0.0475492888970274,-0.6905939083196,-0.78,-0.52,9.76
1.1020136,0,0,1.029,0,0,87.4375,0.785725142969363,5.43856125273089,0.721723738021119,0.00811817127510224,0.047427211133492,-0.6905939083196,-0.78,-0.52,9.76
1.2041874,0,0,1.029,0,0,87.4375,0.756438734494874,5.35516577156635,0.721662699139352,0.00848440456570836,0.0466947445522798,-0.690654947201367,-0.77,-0.51,9.76
1.2221255,0,0,1.029,0,0,87.4375,0.700097789675358,5.32811123522132,0.721662699139352,0.00854544344747604,0.0464505890252091,-0.690715986083135,-0.77,-0.5,9.76
1.2381054,0,0,1.029,0,0,87.4375,0.700097789675358,5.32811123522132,0.721662699139352,0.00860648232924373,0.0463895501434414,-0.690715986083135,-0.77,-0.5,9.76
1.3382052,0,0,1.029,0,0,87.4375,0.614470436381353,5.21766121771175,0.721662699139352,0.00891167673808216,0.0454129280351584,-0.690777024964903,-0.76,-0.48,9.76
1.356261,0,0,1.029,0,0,87.4375,0.614470436381353,5.21766121771175,0.721662699139352,0.00897271561984984,0.0452298113898553,-0.690777024964903,-0.76,-0.48,9.76
1.3710615,0,0,1.029,0,0,87.4375,0.614470436381353,5.21766121771175,0.721662699139352,0.00903375450161753,0.0450466947445523,-0.690777024964903,-0.75,-0.48,9.76
1.3871292,0,0,1.029,0,0,87.4375,0.614470436381353,5.21766121771175,0.721662699139352,0.00909479338338522,0.0449856558627846,-0.690777024964903,-0.75,-0.48,9.76
1.4860782,0,0,1.0192,0,0,87.4375,0.528843083087349,5.10721120020219,0.721662699139352,0.00946102667399133,0.0444363059268754,-0.69083806384667,-0.75,-0.46,9.76
1.505403,0,0,1.0192,0,0,87.4375,0.501788546742323,5.1635521450217,0.721662699139352,0.0095831044375267,0.0444363059268754,-0.69083806384667,-0.75,-0.46,9.76
1.5313583,0,0,0.9996,0,0,87.4375,0.501788546742323,5.1635521450217,0.721662699139352,0.00970518220106208,0.0444363059268754,-0.69083806384667,-0.76,-0.46,9.76
1.640229,0,0,0.98,0,0,87.5,0.501788546742323,5.1635521450217,0.721662699139352,0.0101934932552036,0.0445583836904108,-0.69083806384667,-0.76,-0.45,9.76
1.6593481,0,0,0.98,0,0,87.5,0.474734010397297,5.21989308984122,0.721662699139352,0.0103155710187389,0.0446194225721785,-0.69083806384667,-0.77,-0.45,9.76
1.6826879,0,0,0.98,0,0,87.5,0.418393065577782,5.19283855349619,0.721662699139352,0.0104376487822743,0.0446804614539462,-0.69083806384667,-0.77,-0.45,9.76
1.8010585,0,0,0.9212,0,0,87.5,0.391338529232756,5.24917949831571,0.721601660257584,0.0110480375999512,0.0449246169810169,-0.69083806384667,-0.78,-0.45,9.76
1.8214265,0,0,0.9212,0,0,87.5,0.391338529232756,5.24917949831571,0.721601660257584,0.0111090764817189,0.0449856558627846,-0.69083806384667,-0.78,-0.45,9.76
1.8402568,0,0,0.9212,0,0,87.5,0.391338529232756,5.24917949831571,0.721601660257584,0.0112311542452542,0.0450466947445523,-0.69083806384667,-0.78,-0.45,9.76
1.9581638,0,0,0.9016,0,0,87.5,0.36428399288773,5.30552044313522,0.721601660257584,0.0115363486540927,0.0455960446804615,-0.69083806384667,-0.8,-0.45,9.76
1.9761272,0,0,0.9016,0,0,87.5,0.36428399288773,5.30552044313522,0.721601660257584,0.0115363486540927,0.0457181224439968,-0.69083806384667,-0.8,-0.45,9.76
1.9916308,0,0,0.882,0,0,87.5,0.337229456542704,5.36186138795474,0.721601660257584,0.011475309772325,0.0457791613257645,-0.69083806384667,-0.8,-0.45,9.76
2.1030858,0,0,0.8624,0,0,87.5,0.422856809836709,5.47231140546431,0.721540621375816,0.0112921931270219,0.0467557834340475,-0.690777024964903,-0.81,-0.47,9.76
2.1211589,0,0,0.8624,0,0,87.5,0.422856809836709,5.47231140546431,0.721540621375816,0.0112311542452542,0.0468778611975829,-0.690777024964903,-0.81,-0.47,9.76
2.1361999,0,0,0.8624,0,0,87.5,0.422856809836709,5.47231140546431,0.721540621375816,0.0111701153634865,0.0471830556064213,-0.690715986083135,-0.81,-0.48,9.76
2.1521446,0,0,0.8624,0,0,87.4375,0.479197754656224,5.49936594180933,0.721540621375816,0.0111090764817189,0.0473051333699567,-0.690715986083135,-0.81,-0.48,9.76
2.2573767,0,0,0.8526,0,0,87.4375,0.564825107950229,5.6098159593189,0.721540621375816,0.010498687664042,0.048220716596472,-0.690654947201367,-0.82,-0.5,9.75
2.2812776,0,0,0.8526,0,0,87.4375,0.564825107950229,5.6098159593189,0.721540621375816,0.0102545321369713,0.0485259110053104,-0.690654947201367,-0.82,-0.5,9.75
2.2982039,0,0,0.8526,0,0,87.4375,0.621166052769744,5.63687049566392,0.721540621375816,0.0101934932552036,0.0486479887688458,-0.690654947201367,-0.82,-0.51,9.75
2.4041631,0,0,0.8526,0,0,87.4375,0.733847942408775,5.69097956835398,0.721601660257584,0.00921687114692059,0.049563571995361,-0.6905939083196,-0.82,-0.54,9.75
2.4222125,0,0,0.8526,0,0,87.4375,0.79018888722829,5.718034104699,0.721601660257584,0.00909479338338522,0.0496856497588964,-0.6905939083196,-0.82,-0.54,9.75
2.437115,0,0,0.8526,0,0,87.4375,0.79018888722829,5.718034104699,0.721601660257584,0.00903375450161753,0.0497466886406641,-0.6905939083196,-0.82,-0.54,9.75
2.4522473,0,0,0.8526,0,0,87.4375,0.79018888722829,5.718034104699,0.721601660257584,0.00885063785631447,0.0499298052859672,-0.6905939083196,-0.82,-0.55,9.75
2.5501601,0,0,0.882,0,0,87.4375,0.902870776867321,5.77214317738905,0.721601660257584,0.00805713239333455,0.0506622718671794,-0.690532869437832,-0.82,-0.57,9.75
2.5682208,0,0,0.882,0,0,87.4375,0.902870776867321,5.77214317738905,0.721601660257584,0.00793505462979918,0.0507843496307148,-0.690471830556064,-0.82,-0.57,9.75
2.5841144,0,0,0.882,0,0,87.4375,0.959211721686836,5.79919771373408,0.721601660257584,0.00781297686626381,0.0508453885124825,-0.690471830556064,-0.82,-0.57,9.75
2.6821508,0,0,0.9016,0,0,87.4375,1.01555266650635,5.82625225007911,0.721601660257584,0.00720258804858695,0.0514557773301593,-0.690471830556064,-0.82,-0.59,9.75
2.7001218,0,0,0.9016,0,0,87.4375,1.07189361132587,5.85330678642413,0.721601660257584,0.00708051028505158,0.0515778550936947,-0.690471830556064,-0.82,-0.59,9.75
2.7166001,0,0,0.9016,0,0,87.4375,1.07189361132587,5.85330678642413,0.721601660257584,0.00701947140328389,0.0516388939754624,-0.690410791674297,-0.82,-0.6,9.75
