Time (s),Setpoint (deg),Motor Position (deg),Tension 1 (N),Tension 2 (N),Tension 3 (N),Heading (deg),Pitch (deg),Roll (deg),Quaternion W,Quaternion X,Quaternion Y,Quaternion Z,Gravity X,Gravity Y,Gravity Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0161874,0,-0.45,0.0196,0,0,67.1875,4.71247837676497,5.77267680963715,0.831105414148813,-0.0362570957700055,0.0542635658914729,-0.552401879997558,-0.49,-1.17,9.72
0.0411269,0,0,0.0196,0,0,67.1875,4.71247837676497,5.77267680963715,0.831105414148813,-0.0362570957700055,0.0542635658914729,-0.552401879997558,-0.49,-1.17,9.72
0.0590529,0,0,0.0196,0,0,67.1875,4.71247837676497,5.77267680963715,0.831105414148813,-0.0362570957700055,0.0542635658914729,-0.552401879997558,-0.49,-1.17,9.72
0.1600528,0,0,0.0294,0,0,67.1875,4.71247837676497,5.77267680963715,0.831105414148813,-0.0362570957700055,0.0542635658914729,-0.552401879997558,-0.49,-1.17,9.72
0.1840903,0,0,0.0294,0,0,67.1875,4.71247837676497,5.77267680963715,0.831105414148813,-0.0362570957700055,0.0542635658914729,-0.552401879997558,-0.49,-1.17,9.72
0.2050401,0,0,0.0294,0,0,67.1875,4.71247837676497,5.77267680963715,0.831105414148813,-0.0362570957700055,0.0542635658914729,-0.552401879997558,-0.49,-1.17,9.72
0.3031725,0,0,0.0294,0,0,67.1875,4.71247837676497,5.77267680963715,0.831105414148813,-0.0362570957700055,0.0542635658914729,-0.552401879997558,-0.49,-1.17,9.72
0.3290487,0,0,0.0294,0,0,67.1875,4.71247837676497,5.77267680963715,0.831105414148813,-0.0362570957700055,0.0542635658914729,-0.552401879997558,-0.49,-1.17,9.72
0.3449375,0,0,0.0294,0,0,67.1875,4.71247837676497,5.77267680963715,0.831105414148813,-0.0362570957700055,0.0542635658914729,-0.552401879997558,-0.49,-1.17,9.72
0.3609435,0,0,0.0294,0,0,67.1875,4.71247837676497,5.77267680963715,0.831105414148813,-0.0362570957700055,0.0542635658914729,-0.552401879997558,-0.49,-1.17,9.72
0.3779757,0,0,0.0294,0,0,67.1875,4.71247837676497,5.77267680963715,0.831105414148813,-0.0362570957700055,0.0542635658914729,-0.552401879997558,-0.49,-1.17,9.72
0.3939244,0,0,0.0294,0,0,67.1875,4.71247837676497,5.77267680963715,0.831105414148813,-0.0362570957700055,0.0542635658914729,-0.552401879997558,-0.49,-1.17,9.72
0.4081455,0,0,0.0294,0,0,67.1875,4.71247837676497,5.77267680963715,0.831105414148813,-0.0362570957700055,0.0542635658914729,-0.552401879997558,-0.49,-1.17,9.72
0.4249858,0,0,0.0294,0,0,67.1875,4.71247837676497,5.77267680963715,0.831105414148813,-0.0362570957700055,0.0542635658914729,-0.552401879997558,-0.49,-1.17,9.72
