Time (s),Setpoint (deg),Motor Position (deg),Tension 1 (N),Tension 2 (N),Tension 3 (N),Heading (deg),Pitch (deg),Roll (deg),Quaternion W,Quaternion X,Quaternion Y,Quaternion Z,Gravity X,Gravity Y,Gravity Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0162857,0,0.45,0,0.9898,0,88.8125,4.21805903270087,6.80941511780935,0.712323750228896,-0.0156259537325276,0.0686077031068791,-0.698406885185863,-0.74,-1.15,9.7
0.0455874,0,0,0,0.98,0,88.8125,4.21805903270087,6.80941511780935,0.712323750228896,-0.0156259537325276,0.0686077031068791,-0.698406885185863,-0.74,-1.15,9.7
0.149344,0,0,0,0.9506,0,88.8125,4.21805903270087,6.80941511780935,0.712323750228896,-0.0156259537325276,0.0686077031068791,-0.698406885185863,-0.74,-1.15,9.7
0.1701188,0,0,0,0.9506,0,88.8125,4.21805903270087,6.80941511780935,0.712323750228896,-0.0156259537325276,0.0686077031068791,-0.698406885185863,-0.74,-1.15,9.7
0.1913115,0,0,0,0.9506,0,88.8125,4.21805903270087,6.80941511780935,0.712323750228896,-0.0156259537325276,0.0686077031068791,-0.698406885185863,-0.74,-1.15,9.7
0.2898807,0,0,0,0.9506,0,88.8125,4.21805903270087,6.80941511780935,0.712323750228896,-0.0156259537325276,0.0686077031068791,-0.698406885185863,-0.74,-1.15,9.7
0.3101606,0,0,0,0.9506,0,88.8125,4.21805903270087,6.80941511780935,0.712323750228896,-0.0156259537325276,0.0686077031068791,-0.698406885185863,-0.74,-1.15,9.7
0.3259543,0,0,0,0.9506,0,88.8125,4.21805903270087,6.80941511780935,0.712323750228896,-0.0156259537325276,0.0686077031068791,-0.698406885185863,-0.74,-1.15,9.7
0.3419498,0,0,0,0.9506,0,88.8125,4.21805903270087,6.80941511780935,0.712323750228896,-0.0156259537325276,0.0686077031068791,-0.698406885185863,-0.74,-1.15,9.7
0.3589683,0,0,0,0.9604,0,88.8125,4.21805903270087,6.80941511780935,0.712323750228896,-0.0156259537325276,0.0686077031068791,-0.698406885185863,-0.74,-1.15,9.7
0.3750519,0,0,0,0.9604,0,88.8125,4.21805903270087,6.80941511780935,0.712323750228896,-0.0156259537325276,0.0686077031068791,-0.698406885185863,-0.74,-1.15,9.7
0.3919465,0,0,0,0.9604,0,88.8125,4.21805903270087,6.80941511780935,0.712323750228896,-0.0156259537325276,0.0686077031068791,-0.698406885185863,-0.74,-1.15,9.7
0.4092539,0,0,0,0.9506,0,88.8125,4.21805903270087,6.80941511780935,0.712323750228896,-0.0156259537325276,0.0686077031068791,-0.698406885185863,-0.74,-1.15,9.7
0.4258428,0,0,0,0.9506,0,88.8125,4.21805903270087,6.80941511780935,0.712323750228896,-0.0156259537325276,0.0686077031068791,-0.698406885185863,-0.74,-1.15,9.7
0.4421384,0,0,0,0.9506,0,88.8125,4.21805903270087,6.80941511780935,0.712323750228896,-0.0156259537325276,0.0686077031068791,-0.698406885185863,-0.74,-1.15,9.7
