Time [das],Tension [g],Steps
3.326700211,9,0
3.453700066,9,4
3.549700022,9,10
3.700700045,10,29
3.794900179,18,46
3.886900187,51,66
3.980200052,112,90
4.069900036,197,100
4.169800043,302,100
4.265799999,406,100
4.360800028,492,100
4.449800014,552,100
4.5400002,586,100
4.632800102,594,100
4.766900063,592,100
4.861800194,591,100
4.956799984,590,100
5.052800179,589,100
5.148800135,588,100
5.242799997,588,100
5.336899996,587,100
5.433799982,586,100
5.522800207,586,100
5.613800049,585,100
5.705900192,585,100
5.845000029,584,100
5.941900015,584,100
6.035099983,583,100
6.127900124,583,100
6.219900131,583,100
6.313899994,583,100
6.407900095,582,100
6.501900196,582,100
6.596899986,582,100
6.692900181,581,100
6.7979002,581,100
6.94080019,581,100
7.040800095,581,100
7.134900093,580,100
7.230900049,580,100
7.327900171,580,100
7.425000191,580,100
7.515900135,580,100
7.60710001,579,100
7.696900129,579,100
7.787900209,579,100
7.878900051,579,100
8.012099981,579,100
8.118900061,579,100
8.21780014,579,100
8.311000109,578,100
8.399900198,578,100
8.488900185,578,100
8.579900026,578,100
8.670000076,578,100
8.761000156,578,100
8.85800004,578,100
8.950900078,577,100
9.093900204,577,100
9.187000036,577,100
9.281000137,577,100
9.374000072,577,100
9.471000195,577,100
9.563000202,577,100
9.660000086,577,100
9.751000166,576,100
9.846000195,576,100
9.937100172,576,100
10.03600001,576,100
10.16920018,576,100
10.26999998,576,100
10.3690002,576,100
10.46500015,576,100
10.55900002,576,100
10.65400004,576,100
10.7512002,575,100
10.84710002,575,100
10.94300008,575,100
11.03900003,575,100
11.13910007,575,100
11.27620006,575,100
11.37110019,575,100
11.46800017,575,100
11.55809999,575,100
11.64620018,575,100
11.73629999,575,100
11.82710004,574,100
11.91910005,574,100
12.0091002,574,100
12.102,574,100
12.19110012,574,100
12.32710004,574,100
12.42010021,574,100
12.51310015,574,100
12.60210013,574,100
12.69330001,574,100
12.84210014,574,100
12.95510006,574,100
13.08220005,573,100
13.18410015,573,100
13.28320003,573,100
13.37910008,573,100
13.52920008,573,100
13.62210011,573,100
13.71410012,573,100
13.81020021,573,100
13.91410017,573,100
14.01310015,573,100
14.11120009,573,100
14.20620012,573,100
14.30019999,573,100
14.39110017,573,100
14.48210001,573,100
14.61420012,572,100
14.70420003,572,100
14.80220008,572,100
14.90320015,572,100
15.01020002,572,100
15.1092,572,100
15.2112,572,100
15.30840015,572,100
15.4052,572,100
15.5012002,572,100
15.59720016,572,100
15.73140001,572,100
15.82520008,572,100
15.91740012,572,100
16.01520014,572,100
16.10820007,572,100
16.20220017,572,100
16.29520011,572,100
16.39020014,571,100
16.48220015,571,100
16.57540011,571,100
16.6724,571,100
16.81030011,571,100
16.90530014,571,100
17.00220013,571,100
17.09829998,571,100
17.19340014,571,100
17.29030013,571,100
17.38530016,571,100
17.47930002,571,100
17.57330012,571,100
17.67130017,571,100
17.76540017,571,100
17.90430021,571,100
