Time (s),Setpoint (deg),Motor Position (deg),Tension 1 (N),Tension 2 (N),Tension 3 (N),Heading (deg),Pitch (deg),Roll (deg),Quaternion W,Quaternion X,Quaternion Y,Quaternion Z,Gravity X,Gravity Y,Gravity Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0156667,0,0.45,1.0486,0,0,66,4.32990249650077,5.62690862026357,0.836965146798511,-0.0307025575291461,0.0543856436550082,-0.543795397668315,-0.56,-1.08,9.73
0.043635,0,0,1.0486,0,0,66,4.32990249650077,5.62690862026357,0.836965146798511,-0.0307025575291461,0.0543856436550082,-0.543795397668315,-0.56,-1.08,9.73
0.0606062,0,0,1.0388,0,0,66,4.32990249650077,5.62690862026357,0.836965146798511,-0.0307025575291461,0.0543856436550082,-0.543795397668315,-0.56,-1.08,9.73
0.1636491,0,0,1.029,0,0,66,4.32990249650077,5.62690862026357,0.836965146798511,-0.0307025575291461,0.0543856436550082,-0.543795397668315,-0.56,-1.08,9.73
0.1867473,0,0,1.029,0,0,66,4.32990249650077,5.62690862026357,0.836965146798511,-0.0307025575291461,0.0543856436550082,-0.543795397668315,-0.56,-1.08,9.73
0.2065973,0,0,1.029,0,0,66,4.32990249650077,5.62690862026357,0.836965146798511,-0.0307025575291461,0.0543856436550082,-0.543795397668315,-0.56,-1.08,9.73
0.3135499,0,0,1.0388,0,0,66,4.32990249650077,5.62690862026357,0.836965146798511,-0.0307025575291461,0.0543856436550082,-0.543795397668315,-0.56,-1.08,9.73
0.3326096,0,0,1.0388,0,0,66,4.32990249650077,5.62690862026357,0.836965146798511,-0.0307025575291461,0.0543856436550082,-0.543795397668315,-0.56,-1.08,9.73
0.3485901,0,0,1.0388,0,0,66,4.32990249650077,5.62690862026357,0.836965146798511,-0.0307025575291461,0.0543856436550082,-0.543795397668315,-0.56,-1.08,9.73
0.3647194,0,0,1.0388,0,0,66,4.32990249650077,5.62690862026357,0.836965146798511,-0.0307025575291461,0.0543856436550082,-0.543795397668315,-0.56,-1.08,9.73
0.3816133,0,0,1.0486,0,0,66,4.32990249650077,5.62690862026357,0.836965146798511,-0.0307025575291461,0.0543856436550082,-0.543795397668315,-0.56,-1.08,9.73
0.3978529,0,0,1.0486,0,0,66,4.32990249650077,5.62690862026357,0.836965146798511,-0.0307025575291461,0.0543856436550082,-0.543795397668315,-0.56,-1.08,9.73
0.41262,0,0,1.0486,0,0,66,4.32990249650077,5.62690862026357,0.836965146798511,-0.0307025575291461,0.0543856436550082,-0.543795397668315,-0.56,-1.08,9.73
0.427657,0,0,1.0486,0,0,66,4.32990249650077,5.62690862026357,0.836965146798511,-0.0307025575291461,0.0543856436550082,-0.543795397668315,-0.56,-1.08,9.73
0.4426465,0,0,1.0486,0,0,66,4.32990249650077,5.62690862026357,0.836965146798511,-0.0307025575291461,0.0543856436550082,-0.543795397668315,-0.56,-1.08,9.73
