Time (s),Setpoint (deg),Motor Position (deg),Tension 1 (N),Tension 2 (N),Tension 3 (N),Heading (deg),Pitch (deg),Roll (deg),Quaternion W,Quaternion X,Quaternion Y,Quaternion Z,Gravity X,Gravity Y,Gravity Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0239757,0,-0.9,1.0094,0,0,78.5625,-0.611639116871203,5.46087997402553,0.773057437587743,0.0160532259049014,0.0454739669169261,-0.63254593175853,-0.88,-0.32,9.76
0.1594499,0,-0.45,0.9996,0,0,78,-0.388507209722605,5.42936169342157,0.775987303912592,0.0142830983336385,0.0454739669169261,-0.629005676616004,-0.86,-0.34,9.76
0.1895137,0,0,0.98,0,0,78,-0.361452673377579,5.37302074860206,0.775987303912592,0.0139168650430324,0.0454739669169261,-0.629005676616004,-0.86,-0.34,9.76
0.294314,0,0,0.98,0,0,77.8125,-0.221716247393523,5.37078887647259,0.777024964902643,0.0125740096441433,0.0454739669169261,-0.627784898980651,-0.84,-0.36,9.76
0.3294278,0,0,0.98,0,0,77.75,-0.138320766228981,5.3415024679981,0.777513275956784,0.0122077763535372,0.0454739669169261,-0.627235549044742,-0.84,-0.37,9.76
0.448202,0,0,0.9898,0,0,77.5625,-0.111266229883956,5.28516152317859,0.778550936946835,0.0112921931270219,0.0450466947445523,-0.62595373252762,-0.82,-0.38,9.76
0.4683181,0,0,1.0192,0,0,77.5625,-0.111266229883956,5.28516152317859,0.778550936946835,0.0112311542452542,0.0449856558627846,-0.62595373252762,-0.82,-0.38,9.76
0.4842624,0,0,1.0192,0,0,77.5625,-0.111266229883956,5.28516152317859,0.778550936946835,0.0111701153634865,0.0449246169810169,-0.62595373252762,-0.82,-0.38,9.76
0.5842543,0,0,1.0486,0,0,77.3125,-0.0842116935389297,5.22882057835907,0.779954831227492,0.0112921931270219,0.0447415003357138,-0.624244643838125,-0.82,-0.37,9.76
0.6033996,0,0,1.0486,0,0,77.3125,-0.0842116935389297,5.22882057835907,0.779954831227492,0.0112921931270219,0.0447415003357138,-0.624244643838125,-0.82,-0.37,9.76
0.619229,0,0,1.0486,0,0,77.3125,-0.167607174703471,5.25810698683356,0.779954831227492,0.0114142708905573,0.0446194225721785,-0.624244643838125,-0.82,-0.37,9.76
0.7171317,0,0,1.0682,0,0,77.25,-0.167607174703471,5.25810698683356,0.780137947872795,0.0118415430629311,0.0444363059268754,-0.624000488311054,-0.82,-0.36,9.76
0.7373799,0,0,1.0682,0,0,77.25,-0.223948119522986,5.23105245048854,0.780137947872795,0.0119025819446988,0.0443752670451077,-0.624000488311054,-0.82,-0.35,9.76
0.7531877,0,0,1.078,0,0,77.3125,-0.223948119522986,5.23105245048854,0.780137947872795,0.0119636208264665,0.04431422816334,-0.624061527192822,-0.82,-0.35,9.76
0.8542191,0,0,1.0682,0,0,77.3125,-0.280289064342502,5.20399791414351,0.780137947872795,0.0127571262894464,0.0440700726362693,-0.624061527192822,-0.83,-0.34,9.76
0.874321,0,0,1.0682,0,0,77.25,-0.336630009162017,5.17694337779848,0.780198986754563,0.0130623206982848,0.0439479948727339,-0.623939449429286,-0.83,-0.33,9.76
0.9031465,0,0,1.0682,0,0,77.25,-0.363684545507043,5.233284322618,0.780198986754563,0.0132454373435879,0.0438869559909662,-0.623939449429286,-0.83,-0.33,9.76
1.0032247,0,0,1.0584,0,0,77.375,-0.476366435146073,5.17917524992795,0.779771714582189,0.0145272538607093,0.0434596838185924,-0.624488799365196,-0.84,-0.31,9.76
1.0221984,0,0,1.029,0,0,77.375,-0.532707379965589,5.15212071358292,0.779710675700421,0.0146493316242446,0.0434596838185924,-0.624549838246963,-0.84,-0.3,9.76
1.0393786,0,0,1.029,0,0,77.375,-0.559761916310615,5.20846165840244,0.779710675700421,0.0148324482695477,0.0433986449368248,-0.624549838246963,-0.84,-0.3,9.76
1.140251,0,0,1.0094,0,0,77.375,-0.672443805949645,5.15435258571239,0.779649636818654,0.0159921870231337,0.0430324116462186,-0.624610877128731,-0.85,-0.28,9.76
1.1603032,0,0,1.0094,0,0,77.375,-0.672443805949645,5.15435258571239,0.779649636818654,0.0161753036684368,0.0429103338826833,-0.624610877128731,-0.85,-0.27,9.76
1.1763501,0,0,1.0094,0,0,77.375,-0.728784750769161,5.12729804936736,0.779649636818654,0.0162973814319722,0.0427882561191479,-0.624610877128731,-0.85,-0.27,9.76
1.2752748,0,0,0.9702,0,0,77.375,-0.785125695588676,5.10024351302233,0.779649636818654,0.0167856924861137,0.0421168284197034,-0.624671916010499,-0.84,-0.25,9.76
1.2943757,0,0,0.9702,0,0,77.375,-0.785125695588676,5.10024351302233,0.779649636818654,0.016907770249649,0.0420557895379357,-0.624671916010499,-0.84,-0.25,9.76
1.3105573,0,0,0.9408,0,0,77.375,-0.841466640408191,5.07318897667731,0.779649636818654,0.0169688091314167,0.0419337117744003,-0.624732954892266,-0.84,-0.25,9.76
1.4112989,0,0,0.9114,0,0,77.375,-0.897807585227707,5.04613444033228,0.779588597936886,0.0173350424220228,0.0415064396020265,-0.624732954892266,-0.84,-0.24,9.76
1.4302594,0,0,0.9114,0,0,77.375,-0.897807585227707,5.04613444033228,0.779588597936886,0.0174571201855582,0.0414454007202588,-0.624732954892266,-0.84,-0.24,9.76
1.4462615,0,0,0.9114,0,0,77.375,-0.897807585227707,5.04613444033228,0.779588597936886,0.0174571201855582,0.0414454007202588,-0.624732954892266,-0.84,-0.24,9.76
1.5441392,0,0,0.882,0,0,77.375,-0.897807585227707,5.04613444033228,0.779588597936886,0.0174571201855582,0.0414454007202588,-0.624732954892266,-0.84,-0.24,9.76
1.5624159,0,0,0.882,0,0,77.375,-0.897807585227707,5.04613444033228,0.779588597936886,0.0174571201855582,0.0414454007202588,-0.624732954892266,-0.84,-0.24,9.76
1.5783194,0,0,0.882,0,0,77.375,-0.897807585227707,5.04613444033228,0.779588597936886,0.0174571201855582,0.0414454007202588,-0.624732954892266,-0.84,-0.24,9.76
1.6773223,0,0,0.8428,0,0,77.375,-0.897807585227707,5.04613444033228,0.779588597936886,0.0174571201855582,0.0414454007202588,-0.624732954892266,-0.84,-0.24,9.76
1.6962428,0,0,0.8428,0,0,77.375,-0.897807585227707,5.04613444033228,0.779588597936886,0.0174571201855582,0.0414454007202588,-0.624732954892266,-0.84,-0.24,9.76
1.7152221,0,0,0.8428,0,0,77.375,-0.897807585227707,5.04613444033228,0.779588597936886,0.0173960813037905,0.0415064396020265,-0.624732954892266,-0.84,-0.24,9.76
1.8153211,0,0,0.8428,0,0,77.375,-0.841466640408191,5.07318897667731,0.779649636818654,0.0169688091314167,0.0418116340108649,-0.624732954892266,-0.84,-0.25,9.76
1.8343518,0,0,0.8428,0,0,77.375,-0.841466640408191,5.07318897667731,0.779649636818654,0.016907770249649,0.0419337117744003,-0.624732954892266,-0.84,-0.25,9.76
1.8504282,0,0,0.8428,0,0,77.375,-0.785125695588676,5.10024351302233,0.779649636818654,0.0167856924861137,0.0419337117744003,-0.624732954892266,-0.84,-0.25,9.76
1.9544588,0,0,0.8526,0,0,77.375,-0.701730214424135,5.07095710454784,0.779649636818654,0.0161142647866691,0.0422389061832387,-0.624671916010499,-0.84,-0.27,9.76
1.9812115,0,0,0.8526,0,0,77.375,-0.64538926960462,5.09801164089287,0.779649636818654,0.0158090703778307,0.0424220228285418,-0.624671916010499,-0.84,-0.27,9.76
1.9973493,0,0,0.8526,0,0,77.375,-0.64538926960462,5.09801164089287,0.779649636818654,0.015748031496063,0.0424830617103095,-0.624671916010499,-0.84,-0.27,9.76
2.0981222,0,0,0.8722,0,0,77.375,-0.589048324785104,5.1250661772379,0.779649636818654,0.0150155649148508,0.0429103338826833,-0.624610877128731,-0.84,-0.29,9.76
2.1173573,0,0,0.8722,0,0,77.375,-0.532707379965589,5.15212071358292,0.779649636818654,0.0148324482695477,0.0430324116462186,-0.624610877128731,-0.84,-0.3,9.76
2.1362128,0,0,0.8722,0,0,77.375,-0.532707379965589,5.15212071358292,0.779649636818654,0.01477140938778,0.0430934505279863,-0.624610877128731,-0.84,-0.3,9.76
2.2362866,0,0,0.9212,0,0,77.375,-0.532707379965589,5.15212071358292,0.779710675700421,0.0145272538607093,0.0433376060550571,-0.624610877128731,-0.84,-0.3,9.76
2.2544451,0,0,0.9212,0,0,77.375,-0.532707379965589,5.15212071358292,0.779710675700421,0.0145272538607093,0.0433376060550571,-0.624610877128731,-0.84,-0.3,9.76
2.2703379,0,0,0.9212,0,0,77.375,-0.532707379965589,5.15212071358292,0.779710675700421,0.0145272538607093,0.0433376060550571,-0.624610877128731,-0.84,-0.3,9.76
2.3674272,0,0,0.9604,0,0,77.375,-0.392970953981532,5.14988884145346,0.779649636818654,0.0134285539888909,0.0434596838185924,-0.624671916010499,-0.82,-0.32,9.76
2.3862677,0,0,0.9604,0,0,77.375,-0.392970953981532,5.14988884145346,0.779649636818654,0.0131843984618202,0.0434596838185924,-0.624671916010499,-0.82,-0.33,9.76
2.4014634,0,0,0.9604,0,0,77.375,-0.336630009162017,5.17694337779848,0.779649636818654,0.0130623206982848,0.0435207227003601,-0.624671916010499,-0.82,-0.33,9.76
2.4195203,0,0,0.9604,0,0,77.375,-0.309575472816991,5.12060243297897,0.779649636818654,0.0128181651712141,0.0435207227003601,-0.624671916010499,-0.82,-0.33,9.76
2.5231962,0,0,1.0192,0,0,77.375,-0.169839046832934,5.11837056084951,0.779588597936886,0.0117194652993957,0.0437038393456632,-0.624732954892266,-0.8,-0.35,9.76
2.5422774,0,0,1.0192,0,0,77.375,-0.169839046832934,5.11837056084951,0.779588597936886,0.011475309772325,0.0437038393456632,-0.624732954892266,-0.8,-0.35,9.76
2.5624284,0,0,1.0192,0,0,77.375,-0.113498102013419,5.14542509719453,0.779588597936886,0.0112921931270219,0.0437648782274309,-0.624732954892266,-0.8,-0.36,9.76
2.669425,0,0,1.0388,0,0,77.375,-0.0301026208488775,5.11613868872004,0.779588597936886,0.0104376487822743,0.0438259171091986,-0.624793993774034,-0.79,-0.37,9.76
2.6883706,0,0,1.0388,0,0,77.375,-0.0301026208488775,5.11613868872004,0.779588597936886,0.0102545321369713,0.0438869559909662,-0.624793993774034,-0.79,-0.38,9.76
2.7035158,0,0,1.0584,0,0,77.375,-0.0301026208488775,5.11613868872004,0.779588597936886,0.0101934932552036,0.0438259171091986,-0.624793993774034,-0.79,-0.38,9.76
2.8012832,0,0,1.0682,0,0,77.375,-0.00304808450385186,5.05979774390053,0.779527559055118,0.0100714154916682,0.0435207227003601,-0.624855032655802,-0.78,-0.37,9.76
2.8203894,0,0,1.0682,0,0,77.375,-0.00304808450385186,5.05979774390053,0.779527559055118,0.0100714154916682,0.0434596838185924,-0.624855032655802,-0.78,-0.37,9.76
2.8355298,0,0,1.0682,0,0,77.375,-0.00304808450385186,5.05979774390053,0.779527559055118,0.0100714154916682,0.0433986449368248,-0.624855032655802,-0.78,-0.37,9.76
2.933289,0,0,1.0682,0,0,77.375,-0.0593890293233672,5.0327432075555,0.779527559055118,0.0103155710187389,0.042971372764451,-0.624916071537569,-0.78,-0.36,9.76
2.9534653,0,0,1.0682,0,0,77.375,-0.0593890293233672,5.0327432075555,0.779527559055118,0.0104376487822743,0.0428492950009156,-0.624916071537569,-0.78,-0.36,9.76
2.9735865,0,0,1.0682,0,0,77.4375,-0.0593890293233672,5.0327432075555,0.779527559055118,0.010498687664042,0.0427882561191479,-0.624916071537569,-0.78,-0.36,9.76
3.0754473,180,0,1.0388,0,0,77.4375,-0.172070918962398,4.97863413486545,0.77946652017335,0.0111090764817189,0.0423609839467741,-0.624977110419337,-0.78,-0.34,9.76
3.0975538,180,1.8,1.0388,0,0,77.4375,-0.172070918962398,4.97863413486545,0.77946652017335,0.0111701153634865,0.0422999450650064,-0.624977110419337,-0.78,-0.34,9.76
