Time (s),Setpoint (deg),Motor Position (deg),Tension 1 (N),Tension 2 (N),Tension 3 (N),Heading (deg),Pitch (deg),Roll (deg),Quaternion W,Quaternion X,Quaternion Y,Quaternion Z,Gravity X,Gravity Y,Gravity Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0230629,0,-0.45,0.0294,0,0,65.6875,2.24599174522607,4.91077156161599,0.83910150766038,-0.0161753036684368,0.0444363059268754,-0.542025270097052,-0.55,-0.73,9.76
0.0604313,0,0,0.0294,0,0,65.6875,2.24599174522607,4.91077156161599,0.83910150766038,-0.0161753036684368,0.0444363059268754,-0.542025270097052,-0.55,-0.73,9.76
0.1625099,0,0,0.0294,0,0,65.6875,2.24599174522607,4.91077156161599,0.83910150766038,-0.0161753036684368,0.0444363059268754,-0.542025270097052,-0.55,-0.73,9.76
0.1824712,0,0,0.0294,0,0,65.6875,2.24599174522607,4.91077156161599,0.83910150766038,-0.0161753036684368,0.0444363059268754,-0.542025270097052,-0.55,-0.73,9.76
0.2063814,0,0,0.0392,0,0,65.6875,2.24599174522607,4.91077156161599,0.83910150766038,-0.0161753036684368,0.0444363059268754,-0.542025270097052,-0.55,-0.73,9.76
0.3173239,0,0,0.0294,0,0,65.6875,2.24599174522607,4.91077156161599,0.83910150766038,-0.0161753036684368,0.0444363059268754,-0.542025270097052,-0.55,-0.73,9.76
0.3386065,0,0,0.0294,0,0,65.6875,2.24599174522607,4.91077156161599,0.83910150766038,-0.0161753036684368,0.0444363059268754,-0.542025270097052,-0.55,-0.73,9.76
0.356303,0,0,0.0294,0,0,65.6875,2.24599174522607,4.91077156161599,0.83910150766038,-0.0161753036684368,0.0444363059268754,-0.542025270097052,-0.55,-0.73,9.76
0.3722976,0,0,0.0294,0,0,65.6875,2.24599174522607,4.91077156161599,0.83910150766038,-0.0161753036684368,0.0444363059268754,-0.542025270097052,-0.55,-0.73,9.76
0.3882882,0,0,0.0294,0,0,65.6875,2.24599174522607,4.91077156161599,0.83910150766038,-0.0161753036684368,0.0444363059268754,-0.542025270097052,-0.55,-0.73,9.76
0.4043352,0,0,0.0294,0,0,65.6875,2.24599174522607,4.91077156161599,0.83910150766038,-0.0161753036684368,0.0444363059268754,-0.542025270097052,-0.55,-0.73,9.76
0.4203677,0,0,0.0294,0,0,65.6875,2.24599174522607,4.91077156161599,0.83910150766038,-0.0161753036684368,0.0444363059268754,-0.542025270097052,-0.55,-0.73,9.76
0.4362905,0,0,0.0294,0,0,65.6875,2.24599174522607,4.91077156161599,0.83910150766038,-0.0161753036684368,0.0444363059268754,-0.542025270097052,-0.55,-0.73,9.76
0.4522848,0,0,0.0294,0,0,65.6875,2.24599174522607,4.91077156161599,0.83910150766038,-0.0161753036684368,0.0444363059268754,-0.542025270097052,-0.55,-0.73,9.76
0.4672884,0,0,0.0294,0,0,65.6875,2.24599174522607,4.91077156161599,0.83910150766038,-0.0161753036684368,0.0444363059268754,-0.542025270097052,-0.55,-0.73,9.76
0.4823006,0,0,0.0294,0,0,65.6875,2.24599174522607,4.91077156161599,0.83910150766038,-0.0161753036684368,0.0444363059268754,-0.542025270097052,-0.55,-0.73,9.76
0.4973416,0,0,0.0294,0,0,65.6875,2.24599174522607,4.91077156161599,0.83910150766038,-0.0161753036684368,0.0444363059268754,-0.542025270097052,-0.55,-0.73,9.76
0.513293,0,0,0.0294,0,0,65.6875,2.24599174522607,4.91077156161599,0.83910150766038,-0.0161753036684368,0.0444363059268754,-0.542025270097052,-0.55,-0.73,9.76
0.5282908,0,0,0.0294,0,0,65.6875,2.24599174522607,4.91077156161599,0.83910150766038,-0.0161753036684368,0.0444363059268754,-0.542025270097052,-0.55,-0.73,9.76
0.6293509,0,0,0.0294,0,0,65.6875,2.24599174522607,4.91077156161599,0.83910150766038,-0.0161753036684368,0.0444363059268754,-0.542025270097052,-0.55,-0.73,9.76
0.6484127,0,0,0.0294,0,0,65.6875,2.24599174522607,4.91077156161599,0.83910150766038,-0.0161753036684368,0.0444363059268754,-0.542025270097052,-0.55,-0.73,9.76
0.6655276,0,0,0.0294,0,0,65.6875,2.24599174522607,4.91077156161599,0.83910150766038,-0.0161753036684368,0.0444363059268754,-0.542025270097052,-0.55,-0.73,9.76
0.7835176,0,0,0.0294,0,0,65.6875,2.24599174522607,4.91077156161599,0.83910150766038,-0.0161753036684368,0.0444363059268754,-0.542025270097052,-0.55,-0.73,9.76
0.8024115,0,0,0.0294,0,0,65.6875,2.24599174522607,4.91077156161599,0.83910150766038,-0.0161753036684368,0.0444363059268754,-0.542025270097052,-0.55,-0.73,9.76
0.8186217,0,0,0.0294,0,0,65.6875,2.24599174522607,4.91077156161599,0.83910150766038,-0.0161753036684368,0.0444363059268754,-0.542025270097052,-0.55,-0.73,9.76
0.9143958,0,0,0.0294,0,0,65.6875,2.24599174522607,4.91077156161599,0.83910150766038,-0.0161753036684368,0.0444363059268754,-0.542025270097052,-0.55,-0.73,9.76
0.9344692,0,0,0.0294,0,0,65.6875,2.24599174522607,4.91077156161599,0.83910150766038,-0.0161753036684368,0.0444363059268754,-0.542025270097052,-0.55,-0.73,9.76
0.9502774,0,0,0.0294,0,0,65.6875,2.24599174522607,4.91077156161599,0.83910150766038,-0.0161753036684368,0.0444363059268754,-0.542025270097052,-0.55,-0.73,9.76
1.0472523,0,0,0.0294,0,0,65.6875,2.24599174522607,4.91077156161599,0.83910150766038,-0.0161753036684368,0.0444363059268754,-0.542025270097052,-0.55,-0.73,9.76
1.065253,0,0,0.0294,0,0,65.6875,2.24599174522607,4.91077156161599,0.83910150766038,-0.0161753036684368,0.0444363059268754,-0.542025270097052,-0.55,-0.73,9.76
1.0802466,0,0,0.0294,0,0,65.6875,2.24599174522607,4.91077156161599,0.83910150766038,-0.0161753036684368,0.0444363059268754,-0.542025270097052,-0.55,-0.73,9.76
